DataSeries,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Total,5417,5907,5110,5633,5308,5570,5505,5450,5172,5471,5306,5696,5433,5416,5170,5102,4745,4703,4193
    Lived Apart / Separated For Three Years Or More,2446,2626,2266,2473,2303,2477,2342,2321,2319,2506,2469,2675,2591,2631,2614,2470,2234,2297,2107
    Unreasonable Behaviour,2873,3160,2693,3006,2859,2905,2947,2924,2683,2788,2647,2809,2668,2599,2410,2454,2336,2217,1933
    Desertion,67,80,86,99,100,117,125,120,97,96,99,112,91,95,81,87,76,97,77
    Adultery,29,40,64,54,45,69,89,79,72,81,91,100,83,91,65,91,98,91,76
    Other Reasons,2,1,1,1,1,2,2,6,1,0,0,0,0,0,0,0,1,1,0
Chinese,3840,4233,3714,4173,3972,4090,4123,4121,4018,4331,4240,4595,4446,4493,4333,4250,3968,3969,3350
    Lived Apart / Separated For Three Years Or More,1759,1935,1721,1877,1790,1870,1808,1792,1825,2030,2013,2221,2173,2223,2216,2062,1908,1970,1709
    Unreasonable Behaviour,2026,2230,1906,2198,2092,2109,2167,2189,2072,2167,2087,2207,2155,2140,2011,2062,1926,1857,1544
    Desertion,33,46,37,56,56,56,75,71,61,64,63,81,49,53,48,48,53,63,37
    Adultery,21,22,49,41,34,54,71,64,60,70,77,86,69,77,58,78,80,78,60
    Other Reasons,1,0,1,1,0,1,2,5,0,0,0,0,0,0,0,0,1,1,0
Indians,418,495,414,418,383,436,380,387,352,373,336,408,366,361,344,353,339,302,252
    Lived Apart / Separated For Three Years Or More,150,183,153,156,129,152,126,139,141,147,135,174,148,148,156,154,129,115,105
    Unreasonable Behaviour,267,297,244,256,249,279,248,237,206,217,195,225,208,208,180,188,201,176,139
    Desertion,0,6,11,1,3,3,5,7,3,5,3,3,6,4,6,8,3,8,6
    Adultery,1,9,6,5,2,2,1,4,2,4,3,6,4,1,2,3,6,3,2
    Other Reasons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,178,180,153,157,158,156,148,151,121,120,119,117,93,72,62,67,49,47,32
    Lived Apart / Separated For Three Years Or More,89,85,70,73,63,71,62,60,50,47,49,41,37,32,35,34,21,24,20
    Unreasonable Behaviour,87,93,80,75,92,78,80,83,64,71,66,73,52,37,26,29,25,22,8
    Desertion,0,2,1,3,0,2,2,4,2,1,1,2,3,0,0,1,1,0,1
    Adultery,2,0,2,6,3,5,4,4,4,1,3,1,1,3,1,3,2,1,3
    Other Reasons,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inter-Ethnic,934,968,799,845,758,850,824,769,669,624,600,567,517,475,415,419,364,334,201
    Lived Apart / Separated For Three Years Or More,423,408,310,343,303,371,335,317,297,274,268,235,229,221,199,211,165,167,104
    Unreasonable Behaviour,472,525,447,461,407,415,433,407,335,319,294,299,248,208,185,171,172,139,83
    Desertion,34,25,36,39,41,56,43,37,31,25,31,26,32,37,27,30,17,22,9
    Adultery,4,9,6,2,6,7,13,7,6,6,7,7,8,9,4,7,10,6,5
    Other Reasons,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
